technology,capex_raw,annual_opex_raw,energy_raw,cellular_support,modulation_scheme,spectrum_type,frequency_band,channel_bandwidth_raw,transmission_range_raw,security_mechanism,link_budget_raw,data_rate_raw,duplex_type,latency_raw,max_network_size,main_application,test_conditions
Wi-Fi 7 (802.11be),8080000,0,39 W,no,4K-QAM (4096-QAM),Unlicensed,"2.4 GHz, 5 GHz, 6 GHz",Up to 320 MHz,0.175 km,WPA3-Enterprise; WPA3-Enhanced Open; WPA3 Easy Connect; WPA3-Personal,73,5800 Mbps,Full-duplex,1 ms,1200 (400 per radio),AR/VR/XR; 3D training; UHD video,Snapdragon 8 Elite Mobile Platform; FastConnect 7900
Wi-Fi 6 (802.11ax),4.65 دلار,0,"10 W (EU); up to 19.9 W (US)",No,"OFDM, QAMs",Unlicensed / ISM (2.4 GHz),2.4 / 5 GHz,20 MHz,0.04 km,WPA / WPA2 / WPA3-Personal,113,9600 Mbps,Full-Duplex,8.38-11.16 ms,8191,,
Wi-Fi HaLow (802.11ah),€19.50,0,115.5 mW (35 mA @ 3.3 V),No,"OFDM over BPSK, QPSK, 16/64/256 QAM",ISM Sub-1 GHz,Sub-1 GHz,1-2-4-8-16 MHz,1 km,WPA3,97.5-131.5 dB,78 Mbps,N/A,RTT 13-15 ms,1600,,
5G RedCap (NR-Light),114 یورو,0,366.3 mW (actively receiving downlink),Yes,"256-QAM, 64-QAM",Licensed Bands,0.4-7.1 GHz (FR1); 24.2-52.6 GHz (FR2),10000 (GHz notation error?),250 km,5G-AKA / EAP-AKA; NAS+AS ciphering; 128-NEA/NIA,144,150000000,Half-duplex,10 ms one way,1000,,
NB-IoT (Cat-NB2),1323000,0,87 mW (23 mA @ 3.8 V),Yes,QPSK,Licensed Bands,0.7 / 0.8 / 0.9 GHz,200 (GHz notation error?),250 kilobytes/s (ERROR in source),AES 256,151,0.25 Mbps,N/A,1000-10000 ms,1000,سنسورهای با ترافیک دوره‌ای و غیر دوره‌ای,
LTE-M (Cat-M1),4229399,0,(90 mA 2.2-4.35 V) ≈ (198-391.5) mW,Yes,"QPSK, 16-QAM, 64-QAM",Licensed Bands,LTE band,1400 (GHz notation error?),22000,AES 256,146,0.128 Mbps,Half,10 and 20 ms Rpt,1000,سنسورهای با ترافیک دوره‌ای و غیر دوره‌ای,
LoRaWAN,23208860,0,102.3 mW (31 mA @ 3.3 V),No,CSS,ISM Bands/Sub GHz,868 / 915 MHz,125 kHz,0.5 km,AES 128 LoRaWAN,154,0.05 Mbps,N/A,60000 ms,65536,Sigfox asynchronous cloud LPWAN,
Sigfox,603980,0,~33 mW (10 mA @ 1.8-3.6 V),No,"BPSK, GFSK",ISM Bands/Sub GHz,0.1-0.6 GHz 900 MHz,100 kHz,15 km,Authentication and Encryption,159,0.027 Mbps,Bidirectional,600 ms one way,60000,,
Bluetooth 5.4 (BLE),869750,0,18.0 mW (6.0 mA @ 3.0 V),NO,GFSK,Unlicensed ISM,2.4 GHz,2 MHz,0.15 km,Encrypted Data AD; CCM; 32-bit MIC,117.1 dB,1-2 Mbps,Bidirectional,30 ms,32640 ESL devices,Electronic Shelf Labels (ESL); PAwR,Bluetooth SIG 2024 test: 500 end nodes
Zigbee 3.0,3.75 دلار,0,28.2 mW (9.4 mA @ 3.0 V),No,DSSS,ISM,2.4 / 915 / 868 MHz,5 MHz,10 km,128-bit AES in CCMode,119.5 dB,0.25 Mbps,Bidirectional,60 ms RTP,>100,Smart home; home automation; industrial automation,
Thread (1.3),$3.69,0,15.9 mW (5.3 mA @ 3.0 V),No,OQPSK DSSS1:8,Unlicensed / ISM,2.4 GHz,2 MHz,0.15 km,"AES-128-CCM, ECDSA-SHA-256, TLS-ECJPAKE",124.9 dB,0.25 Mbps,Half,30 ms,>100,,
Z-Wave Long Range,2003750,0,15.18 mW (4.6 mA @ 3.3 V),no,GFSK,ISM Bands,868 / 915 MHz,40-100 kHz,<30 km,AES 128 and CCM,101 dB,0.05-2.4 Mbps,Half-Duplex,400 ms awake latency,4000,,
Smart Ubiquitous Network-Wi-SUN (FAN),5953500,0,40.26 mW (12.2 mA @ 3.3 V typ.),No,"MR-FSK / MR-OFDM / MR-OQPSK",Unlicensed,Sub-GHz & 2.45 GHz ISM,"OFDM: 200/400/800/1200 kHz",Up to 7 km LOS; up to 1.5 km urban,802.1X/802.11i; AES-CCM; X.509,111.3 dB,0.05-2.4 Mbps,Bidirectional,1860 ms RTT (20-node 5-hop FAN),250,<50 ms RTT (1-hop ≤300 B); <100 ms (≤7 hops),
